Frame Rate:,30.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
150,00:00:05.000,26.04525720164609,23.57206790123457,24.47706790123457,30.086635802469136
151,00:00:05.033,25.200298353909464,23.147654320987655,23.909074074074073,28.544166666666666
152,00:00:05.067,24.83462962962963,23.079074074074075,23.262253086419754,28.162561728395062
153,00:00:05.100,24.926512345679015,23.00108024691358,23.255555555555556,28.5229012345679
154,00:00:05.133,24.654495884773663,22.71175925925926,23.15074074074074,28.10098765432099
155,00:00:05.167,24.237808641975306,22.74604938271605,22.755617283950617,27.21175925925926
156,00:00:05.200,23.42545267489712,21.781728395061727,21.99367283950617,26.500956790123457
157,00:00:05.233,24.469156378600825,22.943796296296295,22.693086419753087,27.770586419753087
158,00:00:05.267,24.28159465020576,22.874043209876543,22.49716049382716,27.47358024691358
159,00:00:05.300,23.821491769547325,22.211882716049384,22.1854012345679,27.06719135802469
160,00:00:05.333,23.75405349794239,22.851203703703703,21.798055555555557,26.6129012345679
161,00:00:05.367,23.517757201646088,22.843425925925924,21.287777777777777,26.422067901234566
162,00:00:05.400,22.596203703703704,21.513364197530866,20.68024691358025,25.595
163,00:00:05.433,21.749331275720163,21.176296296296297,19.824814814814815,24.24688271604938
164,00:00:05.467,20.88417695473251,20.005493827160493,19.305802469135802,23.341234567901235
165,00:00:05.500,20.537623456790126,19.782561728395063,18.687685185185185,23.142623456790123
166,00:00:05.533,19.8551646090535,19.06212962962963,18.237098765432098,22.266265432098766
167,00:00:05.567,19.064485596707822,18.46216049382716,17.638024691358023,21.093271604938273
168,00:00:05.600,18.582345679012345,18.211234567901233,17.186728395061728,20.349074074074075
169,00:00:05.633,17.73322016460905,17.12611111111111,16.337777777777777,19.73577160493827
170,00:00:05.667,17.242037037037036,16.909259259259258,15.754722222222222,19.06212962962963
171,00:00:05.700,16.312139917695475,15.6495987654321,15.087006172839507,18.199814814814815
172,00:00:05.733,15.85809670781893,15.149907407407408,14.684351851851853,17.740030864197532
173,00:00:05.767,16.32388888888889,15.77929012345679,14.881450617283951,18.310925925925925
174,00:00:05.800,16.405051440329217,15.960648148148149,14.982839506172839,18.27166666666667
175,00:00:05.833,15.899207818930043,15.24317901234568,14.741141975308642,17.7133024691358
176,00:00:05.867,15.378415637860082,15.087376543209876,14.0725,16.97537037037037
177,00:00:05.900,15.164804526748972,14.534228395061728,13.994506172839506,16.965679012345678
178,00:00:05.933,15.133055555555556,14.72246913580247,13.867407407407407,16.80929012345679
179,00:00:05.967,15.071646090534978,14.586296296296297,13.87496913580247,16.753672839506173
180,00:00:06.000,14.789218106995884,14.252345679012345,13.656234567901235,16.459074074074074
181,00:00:06.033,14.885,14.343425925925926,13.741913580246914,16.56966049382716
182,00:00:06.067,15.232870370370371,14.954567901234569,13.728148148148149,17.015895061728394
183,00:00:06.100,14.699300411522634,14.402808641975309,13.460987654320988,16.234104938271606
184,00:00:06.133,14.683436213991769,14.265432098765432,13.590864197530864,16.194012345679013
185,00:00:06.167,15.185421810699589,14.659413580246914,14.021265432098765,16.875586419753088
186,00:00:06.200,15.568045267489714,15.155555555555555,14.204135802469136,17.344444444444445
187,00:00:06.233,16.0667695473251,15.966604938271605,14.486296296296297,17.747407407407408
188,00:00:06.267,15.966018518518517,15.78070987654321,14.443364197530864,17.67398148148148
189,00:00:06.300,16.71446502057613,16.39898148148148,15.08148148148148,18.66293209876543
190,00:00:06.333,16.85679012345679,16.965462962962963,14.83570987654321,18.769197530864197
191,00:00:06.367,17.753127572016457,18.068456790123456,15.532006172839505,19.65891975308642
192,00:00:06.400,19.082242798353906,20.18712962962963,16.230895061728393,20.828703703703702
193,00:00:06.433,20.825102880658438,21.797901234567902,17.78956790123457,22.88783950617284
194,00:00:06.467,21.83539094650206,23.132654320987655,18.150648148148147,24.22287037037037
195,00:00:06.500,22.075761316872427,23.305802469135802,18.550185185185185,24.371296296296297
196,00:00:06.533,22.271049382716047,22.996141975308642,18.88753086419753,24.929475308641976
197,00:00:06.567,22.990874485596706,23.90648148148148,19.09182098765432,25.97432098765432
198,00:00:06.600,23.92789094650206,25.1425,19.872777777777777,26.768395061728395
199,00:00:06.633,24.015637860082304,25.23891975308642,20.09635802469136,26.711635802469136
200,00:00:06.667,24.20795267489712,25.199197530864197,20.37395061728395,27.05070987654321
201,00:00:06.700,23.76237654320988,24.57108024691358,19.835246913580246,26.8808024691358
202,00:00:06.733,23.162541152263376,24.062654320987654,19.27398148148148,26.15098765432099
203,00:00:06.767,22.574557613168725,23.310864197530865,19.004753086419754,25.408055555555556
204,00:00:06.800,22.009393004115225,21.943703703703704,19.020833333333332,25.06364197530864
205,00:00:06.833,22.148086419753085,22.13138888888889,19.01358024691358,25.29929012345679
206,00:00:06.867,22.006234567901235,21.665154320987654,18.92104938271605,25.4325
207,00:00:06.900,21.364053497942383,21.067932098765432,18.41003086419753,24.614197530864196
208,00:00:06.933,20.340092592592594,19.57601851851852,17.61854938271605,23.82570987654321
209,00:00:06.967,19.604958847736626,18.68962962962963,16.796975308641976,23.328271604938273
210,00:00:07.000,18.90716049382716,18.619907407407407,15.911265432098766,22.19030864197531
211,00:00:07.033,17.46761316872428,16.20259259259259,15.178672839506174,21.021574074074074
212,00:00:07.067,17.595205761316873,16.749228395061728,14.973827160493828,21.06256172839506
213,00:00:07.100,15.726738683127572,14.40324074074074,13.911111111111111,18.865864197530865
214,00:00:07.133,17.73116255144033,17.55648148148148,14.851913580246913,20.785092592592594
215,00:00:07.167,16.099609053497943,14.656203703703703,14.336172839506172,19.30645061728395
